Index,CountryOfInterest,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,CasesPerMil,DeathsPerMil,TotalTests,TestsPerMil,Population,Continent,,,,,,,
24,Ghana,"21,968",129,"17,156","4,683",707,4,"316,798","10,193","31,080,211",Africa,,,,,,,
62,Azerbaijan,"21,916",274,"13,100","8,542","2,161",27,"537,230","52,977","10,140,760",Asia,,,,,,,
77,Japan,"19,981",978,"17,197","1,806",158,8,"509,993","4,033","126,467,455",Asia,,,,,,,
12,Austria,"18,513",706,"16,721","1,086","2,055",78,"668,220","74,186","9,007,373",Europe,,,,,,,
129,Moldova,"18,471",614,"11,549","6,308","4,579",152,"101,180","25,083","4,033,748",Europe,,,,,,,
171,Serbia,"17,076",341,"13,366","3,369","1,955",39,"464,171","53,130","8,736,536",Europe,,,,,,,
1,Algeria,"16,879",968,"12,094","3,817",385,22,,,"43,861,089",Africa,,,,,,,
89,Nepal,"16,423",35,"7,752","8,636",564,1,"578,859","19,862","29,143,476",Asia,,,,,,,
8,Cameroon,"14,916",359,"11,525","3,032",562,14,,,"26,551,860",Africa,,,,,,,
37,Morocco,"14,730",240,"10,848","3,642",399,7,"809,803","21,935","36,917,509",Africa,,,,,,,
162,South Korea,"13,244",285,"11,970",989,258,6,"1,359,735","26,521","51,270,128",Asia,,,,,,,
53,Denmark,"12,900",609,"12,001",290,"2,227",105,"1,174,919","202,831","5,792,611",Europe,,,,,,,
52,Czech Rep.,"12,685",351,"7,910","4,424","1,184",33,"574,769","53,670","10,709,396",Europe,,,,,,,
13,Côte d'Ivoire,"11,194",76,"5,487","5,631",424,3,"67,168","2,546","26,384,247",Africa,,,,,,,
206,Uzbekistan,"10,982",42,"6,888","4,052",328,1,"1,121,236","33,493","33,476,252",Asia,,,,,,,
51,Sudan,"9,997",622,"5,034","4,341",228,14,401,9,"43,859,395",Africa,,,,,,,
146,Norway,"8,947",251,"8,138",558,"1,650",46,"358,175","66,060","5,422,001",Europe,,,,,,,
11,Australia,"8,886",106,"7,487","1,293",348,4,"2,853,342","111,875","25,504,621",Oceania,,,,,,,
85,Malaysia,"8,677",121,"8,486",70,268,4,"822,646","25,412","32,372,382",Asia,,,,,,,
60,El Salvador,"8,566",235,"5,133","3,198","1,321",36,"182,361","28,112","6,486,837",NorthAmerica,,,,,,,
27,Kenya,"8,528",169,"2,593","5,766",159,3,"196,508","3,654","53,783,851",Africa,,,,,,,
81,Kyrgyzstan,"8,486",112,"2,983","5,391","1,300",17,"236,893","36,302","6,525,648",Asia,,,,,,,
208,Venezuela,"7,693",71,"2,100","5,522",271,2,"1,336,021","46,987","28,434,075",SouthAmerica,,,,,,,
14,Dem. Rep. Congo,"7,659",,,,,,,,"101,780,263",Africa,,,,,,,
46,Senegal,"7,657",141,"5,097","2,419",457,8,"86,891","5,188","16,747,585",Africa,,,,,,,
16,DRC,"7,432",182,"3,226","4,024",83,2,,,"89,577,994",Africa,,,,,,,
145,Macedonia,"7,406",359,"3,554","3,493","3,555",172,"71,220","34,185","2,083,372",Europe,,,,,,,
69,Finland,"7,265",329,"6,800",136,"1,311",59,"266,600","48,115","5,540,901",Europe,,,,,,,
87,Haiti,"6,432",117,"2,080","4,235",564,10,"13,490","1,183","11,404,712",NorthAmerica,,,,,,,
191,Tajikistan,"6,364",54,"5,011","1,299",667,6,,,"9,539,867",Asia,,,,,,,
30,Bulgaria,"6,102",254,"3,037","2,811",878,37,"159,818","23,005","6,947,117",Europe,,,,,,,
25,Bosnia and Herz.,"5,869",209,"2,769","2,891","1,789",64,"104,343","31,809","3,280,314",Europe,,,,,,,
21,Ethiopia,"5,846",103,"2,430","3,313",51,0.9,"250,604","2,179","114,989,617",Africa,,,,,,,
22,Gabon,"5,743",46,"2,574","3,123","2,580",21,"42,078","18,901","2,226,247",Africa,,,,,,,
25,Guinea,"5,697",34,"4,577","1,086",434,3,"14,407","1,097","13,135,600",Africa,,,,,,,
47,Costa Rica,"5,486",23,"1,810","3,653","1,077",5,"49,717","9,758","5,094,921",NorthAmerica,,,,,,,
71,French Guiana,"5,178",21,"2,119","3,038","17,332",70,"8,707","29,145","298,748",SouthAmerica,,,,,,,
149,Palestine,"5,029",19,494,"4,516",986,4,"122,555","24,018","5,102,594",Asia,,,,,,,
34,Mauritania,"5,024",135,"1,944","2,945","1,080",29,"13,842","2,976","4,650,676",Africa,,,,,,,
15,Djibouti,"4,878",55,"4,621",202,"4,936",56,"48,170","48,745","988,208",Africa,,,,,,,
116,Luxembourg,"4,603",110,"4,056",437,"7,352",176,"237,755","379,729","626,117",Europe,,,,,,,
90,Hungary,"4,210",589,"2,885",736,436,61,"288,693","29,886","9,659,787",Europe,,,,,,,
9,Central African Rep.,"4,071",52,976,"3,043",843,11,"25,872","5,356","4,830,862",Africa,,,,,,,
79,Greece,"3,589",193,"1,374","2,022",344,19,"349,084","33,495","10,421,825",Europe,,,,,,,
31,Madagascar,"3,573",33,"1,761","1,779",129,1,"26,160",945,"27,697,167",Africa,,,,,,,
48,Croatia,"3,325",114,"2,277",934,810,28,"88,235","21,496","4,104,641",Europe,,,,,,,
193,Thailand,"3,197",58,"3,074",65,46,0.8,"603,657","8,648","69,803,578",Asia,,,,,,,
2,Albania,"3,106",83,"1,791","1,232","1,079",29,"26,637","9,256","2,877,727",Europe,,,,,,,
18,Eq. Guinea,"3,071",51,842,"2,178","2,189",36,"16,000","11,402","1,403,204",Africa,,,,,,,
49,Somalia,"3,015",92,"1,096","1,827",190,6,,,"15,896,528",Africa,,,,,,,
142,Nicaragua,"2,846",91,"1,993",762,430,14,,,"6,625,804",NorthAmerica,,,,,,,
36,Mayotte,"2,688",34,"2,446",208,"9,851",125,"8,800","32,249","272,877",Africa,,,,,,,
152,Paraguay,"2,502",20,"1,193","1,289",351,3,"81,441","11,416","7,133,910",SouthAmerica,,,,,,,Mac
86,Maldives,"2,501",12,"2,158",331,"4,626",22,"57,611","106,555","540,667",Asia,,,,,,,
49,Cuba,"2,399",86,"2,242",71,212,8,"189,599","16,739","11,326,463",NorthAmerica,,,,,,,
33,Mali,"2,348",119,"1,556",673,116,6,"16,317",806,"20,254,896",Africa,,,,,,,
182,Sri Lanka,"2,084",11,"1,967",106,97,0.5,"114,765","5,359","21,415,020",Asia,,,,,,,
44,S. Sudan,"2,021",38,333,"1,650",181,3,"10,824",967,"11,195,818",Africa,,,,,,,
63,Estonia,"2,003",69,"1,882",52,"1,510",52,"110,553","83,338","1,326,554",Europe,,,,,,,
83,Lebanon,"1,946",36,"1,368",542,285,5,"155,893","22,842","6,824,713",Asia,,,,,,,
57,Zambia,"1,895",42,"1,348",505,103,2,"56,825","3,090","18,387,764",Africa,,,,,,,
91,Iceland,"1,880",10,"1,850",20,"5,509",29,"93,215","273,130","341,284",Europe,,,,,,,
32,Malawi,"1,864",24,345,"1,495",97,1,"17,406",910,"19,134,187",Africa,,,,,,,
115,Lithuania,"1,854",79,"1,552",223,681,29,"447,994","164,630","2,721,211",Europe,,,,,,,
12,Congo,"1,821",44,501,"1,012",282,8,,,"5,519,340",Africa,,,,,,,
176,Slovakia,"1,798",28,"1,473",297,329,5,"221,494","40,569","5,459,699",Europe,,,,,,,
26,Guinea-Bissau,"1,790",25,760,"1,005",909,13,"1,500",762,"1,968,454",Africa,,,,,,,
177,Slovenia,"1,763",111,"1,429",223,848,53,"111,203","53,490","2,078,944",Europe,,,,,,,
48,Sierra Leone,"1,572",63,"1,088",421,197,8,,,"7,978,847",Africa,,,,,,,
141,New Zealand,"1,537",22,"1,492",23,307,4,"419,055","83,776","5,002,100",Oceania,,,,,,,
7,Cabo Verde,"1,499",18,724,757,"2,696",32,"39,485","71,005","556,086",Africa,,,,,,,
71,Hong Kong,"1,324",7,"1,167",150,177,0.9,"347,400","46,332","7,498,062",Asia,,,,,,,
211,Yemen,"1,297",348,591,358,43,12,120,4,"29,832,928",Asia,,,,,,,
54,Tunisia,"1,205",50,"1,049",106,102,4,"73,610","6,227","11,820,670",Africa,,,,,,,
3,Benin,"1,199",21,333,845,99,2,"56,613","4,669","12,125,860",Africa,,,,,,,
30,Libya,"1,182",35,295,852,172,5,"31,092","4,524","6,872,693",Africa,,,,,,,
43,Rwanda,"1,172",3,595,574,90,0.2,"166,255","12,833","12,955,149",Africa,,,,,,,
78,Jordan,"1,169",10,969,190,115,1,"434,295","42,558","10,204,842",Asia,,,,,,,
109,Latvia,"1,141",30,"1,008",103,605,16,"162,054","85,941","1,885,634",Europe,,,,,,,
40,Niger,"1,094",68,974,52,45,3,"6,603",273,"24,209,171",Africa,,,,,,,
20,Eswatini,"1,056",14,570,472,910,12,"14,247","12,278","1,160,364",Africa,,,,,,,
38,Mozambique,"1,040",8,280,752,33,0.3,"35,140","1,124","31,261,908",Africa,,,,,,,
69,Cyprus,"1,005",19,839,147,832,16,"167,394","138,626","1,207,519",Asia,,,,,,,
5,Burkina Faso,"1,003",53,860,90,48,3,,,"20,907,695",Africa,,,,,,,
55,Uganda,977,,904,73,21,,"216,311","4,728","45,748,875",Africa,,,,,,,
204,Uruguay,965,29,865,71,278,8,"73,609","21,189","3,473,972",SouthAmerica,,,,,,,
70,Georgia,963,15,841,107,241,4,"125,314","31,415","3,988,993",Asia,,,,,,,
29,Liberia,917,41,394,482,181,8,,,"5,058,848",Africa,,,,,,,
132,Montenegro,907,17,320,570,"1,444",27,"15,226","24,243","628,068",Europe,,,,,,,
10,Chad,873,74,788,11,53,5,,,"16,429,175",Africa,,,,,,,
4,Andorra,855,52,800,3,"11,065",673,"3,750","48,532","77,268",Europe,,,,,,,
58,Zimbabwe,787,9,201,577,53,0.6,"81,335","5,471","14,866,061",Africa,,,,,,,
101,Jamaica,745,10,599,136,252,3,"27,142","9,165","2,961,421",NorthAmerica,,,,,,,
45,Sao Tome and Principe,724,13,279,432,"3,303",59,"1,873","8,544","219,210",Africa,,,,,,,
167,San Marino,698,42,656,0,"20,571","1,238","5,729","168,838","33,932",Europe,,,,,,,
53,Togo,689,15,467,207,83,2,"33,332","4,025","8,280,636",Africa,,,,,,,
123,Malta,673,9,654,10,"1,524",20,"104,099","235,749","441,567",Europe,,,,,,,
186,Suriname,634,15,405,214,"1,081",26,"1,244","2,120","586,723",SouthAmerica,,,,,,,
39,Namibia,593,,25,568,233,,"12,167","4,787","2,541,487",Africa,,,,,,,
41,Channel Islands,577,47,512,18,"3,318",270,"21,388","122,997","173,891",Europe,,,,,,,
42,Réunion,551,3,472,76,615,3,"35,419","39,555","895,429",Africa,,,,,,,
52,Tanzania,509,21,183,305,9,0.4,,,"59,746,364",Africa,,,,,,,
190,Taiwan,449,7,438,4,19,0.3,"77,876","3,270","23,817,676",Asia,,,,,,,
2,Angola,386,21,117,248,12,0.6,"10,000",304,"32,872,107",Africa,,,,,,,
189,Syria,372,14,126,232,21,0.8,,,"17,504,652",Asia,,,,,,,
209,Vietnam,369,,347,22,4,,"275,000","2,825","97,353,756",Asia,,,,,,,
35,Mauritius,342,10,330,2,269,8,"193,561","152,193","1,271,812",Africa,,,,,,,
97,Isle of Man,336,24,312,0,"3,951",282,"6,829","80,301","85,042",Europe,,,,,,,
88,Myanmar,316,6,245,65,6,0.1,"85,689","1,575","54,416,540",Asia,,,,,,,
4,Botswana,314,1,31,282,133,0.4,"47,860","20,347","2,352,176",Africa,,,,,,,
11,Comoros,311,7,266,38,358,8,,,"869,804",Africa,,,,,,,
86,Guyana,284,16,125,143,361,20,"2,926","3,720","786,626",SouthAmerica,,,,,,,
124,Martinique,249,14,98,137,664,37,,,"375,259",NorthAmerica,,,,,,,
87,Mongolia,227,,195,32,69,,"25,507","7,779","3,279,013",Asia,,,,,,,
19,Eritrea,215,,56,159,61,,,,"3,547,151",Africa,,,,,,,
39,Cayman Islands,201,1,194,6,"3,058",15,"25,220","383,668","65,734",NorthAmerica,,,,,,,
6,Burundi,191,1,118,72,16,0.08,749,63,"11,893,062",Africa,,,,,,,
66,Faeroe Islands,188,,188,0,"3,847",,"17,468","357,460","48,867",Europe,,,,,,,
82,Guadeloupe,184,14,157,13,460,35,"9,649","24,115","400,125",NorthAmerica,,,,,,,
78,Gibraltar,179,,176,3,"5,313",,"15,252","452,703","33,691",Europe,,,,,,,
22,Bermuda,148,9,137,2,"2,377",145,"12,544","201,436","62,273",NorthAmerica,,,,,,,
66,Brunei,141,3,138,0,322,7,"29,841","68,200","437,550",Asia,,,,,,,
67,Cambodia,141,,131,10,8,,"41,733","2,496","16,722,405",Asia,,,,,,,
196,Trinidad and Tobago,133,8,117,8,95,6,"5,648","4,035","1,399,580",NorthAmerica,,,,,,,
130,Monaco,108,4,95,9,"2,752",102,"16,200","412,770","39,247",Europe,,,,,,,
10,Aruba,105,3,98,4,983,28,"2,842","26,617","106,775",NorthAmerica,,,,,,,
14,Bahamas,104,11,89,4,264,28,"2,467","6,272","393,308",NorthAmerica,,,,,,,
17,Barbados,98,7,90,1,341,24,"8,411","29,268","287,382",NorthAmerica,,,,,,,
