Index,CountryOfInterest,TotalCases,TotalDeaths,CasesPerMil,DeathsPerMil,TotalTests,TestsPerMil,Population,Continent,RandomX,RandomY,,,,,,,,,,,,,,
77,Dem. Rep. Congo,"7,659",0,0,0,0,0,"101,780,263",Africa,65,90,,,,,,,,,,,,,,
65,Denmark,"12,900",609,"2,227",105,"1,174,919","202,831","5,792,611",Europe,63,33,,,,,,,,,,,,,,
93,Djibouti,"4,878",55,"4,936",56,"48,170","48,745","988,208",Africa,214,60,,,,,,,,,,,,,,
202,Dominica,18,0,250,0,623,"8,654","71,990",NorthAmerica,90,166,,,,,,,,,,,,,,
42,Dominican Republic,"38,430",821,"3,542",76,"169,999","15,668","10,849,739",NorthAmerica,118,108,,,,,,,,,,,,,,
79,DRC,"7,432",182,83,2,0,0,"89,577,994",Africa,192,178,,,,,,,,,,,,,,
29,Ecuador,"63,245","4,873","3,584",276,"168,272","9,536","17,646,852",SouthAmerica,74,165,,,,,,,,,,,,,,
24,Egypt,"77,279","3,489",755,34,"135,000","1,319","102,358,079",Africa,94,63,,,,,,,,,,,,,,
73,El Salvador,"8,566",235,"1,321",36,"182,361","28,112","6,486,837",NorthAmerica,102,14,,,,,,,,,,,,,,
102,Eq. Guinea,"3,071",51,"2,189",36,"16,000","11,402","1,403,204",Africa,135,190,,,,,,,,,,,,,,
168,Eritrea,215,0,61,0,0,0,"3,547,151",Africa,103,56,,,,,,,,,,,,,,
112,Estonia,"2,003",69,"1,510",52,"110,553","83,338","1,326,554",Europe,151,146,,,,,,,,,,,,,,
134,Eswatini,"1,056",14,910,12,"14,247","12,278","1,160,364",Africa,20,165,,,,,,,,,,,,,,
86,Ethiopia,"5,846",103,51,0.9,"250,604","2,179","114,989,617",Africa,196,121,,,,,,,,,,,,,,
171,Faeroe Islands,188,0,"3,847",,"17,468","357,460","48,867",Europe,43,18,,,,,,,,,,,,,,
204,Falkland Islands,13,0,"3,735",0,"1,197","343,867","3,481",SouthAmerica,196,196,,,,,,,,,,,,,,
200,Fiji,21,0,23,0,"4,000","4,461","896,563",Oceania,151,189,,,,,,,,,,,,,,
81,Finland,"7,265",329,"1,311",59,"266,600","48,115","5,540,901",Europe,173,4,,,,,,,,,,,,,,
18,France,"168,810","29,933","2,586",459,"1,384,633","21,212","65,276,501",Europe,189,147,,,,,,,,,,,,,,
90,French Guiana,"5,178",21,"17,332",70,"8,707","29,145","298,748",SouthAmerica,202,82,,,,,,,,,,,,,,
188,French Polynesia,62,0,221,0,"4,649","16,548","280,939",Oceania,60,205,,,,,,,,,,,,,,
87,Gabon,"5,743",46,"2,580",21,"42,078","18,901","2,226,247",Africa,150,213,,,,,,,,,,,,,,
189,Gambia,61,3,25,1,"3,162","1,308","2,417,167",Africa,20,145,,,,,,,,,,,,,,
140,Georgia,963,15,241,4,"125,314","31,415","3,988,993",Asia,116,202,,,,,,,,,,,,,,
16,Germany,"198,561","9,105","2,370",109,"5,873,563","70,099","83,789,358",Europe,165,79,,,,,,,,,,,,,,
54,Ghana,"21,968",129,707,4,"316,798","10,193","31,080,211",Africa,131,196,,,,,,,,,,,,,,
173,Gibraltar,179,0,"5,313",,"15,252","452,703","33,691",Europe,227,164,,,,,,,,,,,,,,
97,Greece,"3,589",193,344,19,"349,084","33,495","10,421,825",Europe,61,108,,,,,,,,,,,,,,
205,Greenland,13,0,229,0,"4,361","76,816","56,772",NorthAmerica,72,65,,,,,,,,,,,,,,
196,Grenada,23,0,204,0,"5,465","48,564","112,533",NorthAmerica,157,41,,,,,,,,,,,,,,
172,Guadeloupe,184,14,460,35,"9,649","24,115","400,125",NorthAmerica,107,42,,,,,,,,,,,,,,
53,Guatemala,"24,787","1,004","1,383",56,"64,590","3,604","17,919,696",NorthAmerica,183,19,,,,,,,,,,,,,,
88,Guinea,"5,697",34,434,3,"14,407","1,097","13,135,600",Africa,122,198,,,,,,,,,,,,,,
120,Guinea-Bissau,"1,790",25,909,13,"1,500",762,"1,968,454",Africa,194,40,,,,,,,,,,,,,,
165,Guyana,284,16,361,20,"2,926","3,720","786,626",SouthAmerica,164,123,,,,,,,,,,,,,,
82,Haiti,"6,432",117,564,10,"13,490","1,183","11,404,712",NorthAmerica,101,164,,,,,,,,,,,,,,
52,Honduras,"25,428",677,"2,567",68,"49,308","4,977","9,906,781",NorthAmerica,34,31,,,,,,,,,,,,,,
125,Hong Kong,"1,324",7,177,0.9,"347,400","46,332","7,498,062",Asia,128,199,,,,,,,,,,,,,,
95,Hungary,"4,210",589,436,61,"288,693","29,886","9,659,787",Europe,71,82,,,,,,,,,,,,,,
115,Iceland,"1,880",10,"5,509",29,"93,215","273,130","341,284",Europe,59,102,,,,,,,,,,,,,,
3,India,"754,152","20,820",546,15,"10,473,771","7,588","1,380,233,788",Asia,220,73,,,,,,,,,,,,,,
26,Indonesia,"68,079","3,359",249,12,"968,237","3,539","273,571,432",Asia,84,102,,,,,,,,,,,,,,
10,Iran,"248,379","12,084","2,957",144,"1,872,391","22,288","84,009,505",Asia,39,145,,,,,,,,,,,,,,
27,Iraq,"67,442","2,779","1,676",69,"637,227","15,839","40,231,863",Asia,108,89,,,,,,,,,,,,,,
51,Ireland,"25,538","1,742","5,171",353,"473,974","95,972","4,938,681",Europe,88,198,,,,,,,,,,,,,,
161,Isle of Man,336,24,"3,951",282,"6,829","80,301","85,042",Europe,178,109,,,,,,,,,,,,,,
45,Israel,"32,714",343,"3,557",37,"1,162,749","126,419","9,197,590",Asia,199,191,,,,,,,,,,,,,,
11,Italy,"241,956","34,899","4,002",577,"5,703,673","94,338","60,459,826",Europe,31,124,,,,,,,,,,,,,,
146,Jamaica,745,10,252,3,"27,142","9,165","2,961,421",NorthAmerica,6,171,,,,,,,,,,,,,,
56,Japan,"19,981",978,158,8,"509,993","4,033","126,467,455",Asia,197,214,,,,,,,,,,,,,,
131,Jordan,"1,169",10,115,1,"434,295","42,558","10,204,842",Asia,165,137,,,,,,,,,,,,,,
33,Kazakhstan,"51,059",264,"2,719",14,"1,630,669","86,829","18,780,262",Asia,34,44,,,,,,,,,,,,,,
74,Kenya,"8,528",169,159,3,"196,508","3,654","53,783,851",Africa,169,38,,,,,,,,,,,,,,
32,Kuwait,"52,007",379,"12,175",89,"417,874","97,829","4,271,479",Asia,111,176,,,,,,,,,,,,,,
75,Kyrgyzstan,"8,486",112,"1,300",17,"236,893","36,302","6,525,648",Asia,55,34,,,,,,,,,,,,,,
201,Lao PDR,19,0,3,0,"18,729","2,574","7,277,093",Asia,195,116,,,,,,,,,,,,,,
132,Latvia,"1,141",30,605,16,"162,054","85,941","1,885,634",Europe,19,207,,,,,,,,,,,,,,
113,Lebanon,"1,946",36,285,5,"155,893","22,842","6,824,713",Asia,37,17,,,,,,,,,,,,,,
182,Lesotho,91,0,42,0,"4,331","2,021","2,142,552",Africa,51,59,,,,,,,,,,,,,,
141,Liberia,917,41,181,8,0,0,"5,058,848",Africa,54,177,,,,,,,,,,,,,,
129,Libya,"1,182",35,172,5,"31,092","4,524","6,872,693",Africa,196,88,,,,,,,,,,,,,,
183,Liechtenstein,84,1,"2,203",26,900,"23,603","38,130",Europe,81,203,,,,,,,,,,,,,,
117,Lithuania,"1,854",79,681,29,"447,994","164,630","2,721,211",Europe,174,61,,,,,,,,,,,,,,
94,Luxembourg,"4,603",110,"7,352",176,"237,755","379,729","626,117",Europe,181,121,,,,,,,,,,,,,,
191,Macao,46,0,71,0,"4,071","6,268","649,468",Asia,42,16,,,,,,,,,,,,,,
80,Macedonia,"7,406",359,"3,555",172,"71,220","34,185","2,083,372",Europe,172,104,,,,,,,,,,,,,,
98,Madagascar,"3,573",33,129,1,"26,160",945,"27,697,167",Africa,53,65,,,,,,,,,,,,,,
116,Malawi,"1,864",24,97,1,"17,406",910,"19,134,187",Africa,215,145,,,,,,,,,,,,,,
72,Malaysia,"8,677",121,268,4,"822,646","25,412","32,372,382",Asia,97,118,,,,,,,,,,,,,,
107,Maldives,"2,501",12,"4,626",22,"57,611","106,555","540,667",Asia,87,23,,,,,,,,,,,,,,
109,Mali,"2,348",119,116,6,"16,317",806,"20,254,896",Africa,132,214,,,,,,,,,,,,,,
150,Malta,673,9,"1,524",20,"104,099","235,749","441,567",Europe,49,198,,,,,,,,,,,,,,
166,Martinique,249,14,664,37,0,0,"375,259",NorthAmerica,217,59,,,,,,,,,,,,,,
92,Mauritania,"5,024",135,"1,080",29,"13,842","2,976","4,650,676",Africa,169,49,,,,,,,,,,,,,,
160,Mauritius,342,10,269,8,"193,561","152,193","1,271,812",Africa,195,44,,,,,,,,,,,,,,
105,Mayotte,"2,688",34,"9,851",125,"8,800","32,249","272,877",Africa,46,201,,,,,,,,,,,,,,
9,Mexico,"268,008","32,014","2,078",248,"668,537","5,184","128,955,195",NorthAmerica,103,126,,,,,,,,,,,,,,
58,Moldova,"18,471",614,"4,579",152,"101,180","25,083","4,033,748",Europe,17,38,,,,,,,,,,,,,,
178,Monaco,108,4,"2,752",102,"16,200","412,770","39,247",Europe,220,63,,,,,,,,,,,,,,
167,Mongolia,227,0,69,0,"25,507","7,779","3,279,013",Asia,20,15,,,,,,,,,,,,,,
142,Montenegro,907,17,"1,444",27,"15,226","24,243","628,068",Europe,171,14,,,,,,,,,,,,,,
207,Montserrat,11,1,"2,204",200,61,"12,220","4,992",NorthAmerica,6,111,,,,,,,,,,,,,,
63,Morocco,"14,730",240,399,7,"809,803","21,935","36,917,509",Africa,211,86,,,,,,,,,,,,,,
135,Mozambique,"1,040",8,33,0.3,"35,140","1,124","31,261,908",Africa,17,70,,,,,,,,,,,,,,
162,Myanmar,316,6,6,0.1,"85,689","1,575","54,416,540",Asia,78,121,,,,,,,,,,,,,,
152,Namibia,593,0,233,,"12,167","4,787","2,541,487",Africa,83,38,,,,,,,,,,,,,,
61,Nepal,"16,423",35,564,1,"578,859","19,862","29,143,476",Asia,138,121,,,,,,,,,,,,,,
34,Netherlands,"50,746","6,135","2,961",358,"681,931","39,796","17,135,657",Europe,93,116,,,,,,,,,,,,,,
199,New Caledonia,21,0,74,0,"8,663","30,338","285,545",Oceania,58,2,,,,,,,,,,,,,,
123,New Zealand,"1,537",22,307,4,"419,055","83,776","5,002,100",Oceania,172,139,,,,,,,,,,,,,,
104,Nicaragua,"2,846",91,430,14,0,0,"6,625,804",NorthAmerica,113,121,,,,,,,,,,,,,,
133,Niger,"1,094",68,45,3,"6,603",273,"24,209,171",Africa,96,158,,,,,,,,,,,,,,
50,Nigeria,"29,789",669,144,3,"152,952",742,"206,186,248",Africa,19,114,,,,,,,,,,,,,,
216,North Korea,0,0,0,0,0,0,0,Asia,58,185,,,,,,,,,,,,,,
70,Norway,"8,947",251,"1,650",46,"358,175","66,060","5,422,001",Europe,103,207,,,,,,,,,,,,,,
